15 15
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
O 1 13
L2 1 12
I2 12 -7
I2 9 0
I2 1 8
I2 12 -7
I2 7 -6
O 7 -2
I2 2 -1
S1 9 0
I1 9 -2
T4 7 1
T3 13 -2
O 13 1
J2 4 -3
S2 4 -1
T4 12 1
J3 1 1
O 2 2
I1 7 -1
S2 6 7
I1 6 9
I2 9 0
Z1 6 1
J2 13 -3
J3 5 -4
T1 5 3
O 13 -2
J4 1 2
J4 5 0
Z2 12 2
I2 1 0
T3 13 -5
L4 13 -2
T1 13 0
L4 12 -2
I2 12 -4
T3 5 1
O 5 -4
J2 2 1
T3 1 3
I2 1 0
I2 4 -3
I2 5 1
I2 12 -2
